时间,1月30日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,？,重症,？,危重,？,死亡,？,出院,？,
确诊病例中,武汉市,2639,黄石市,168,十堰市,150,襄阳市,286,宜昌市,167
重症病例中,武汉市,?,黄石市,?,十堰市,?,襄阳市,?,宜昌市,?
危重病例中,武汉市,?,黄石市,?,十堰市,?,襄阳市,?,宜昌市,?
死亡病例中,武汉市,?,黄石市,?,十堰市,?,襄阳市,?,宜昌市,?
出院病例中,武汉市,?,黄石市,?,十堰市,?,襄阳市,?,宜昌市,?
累计追踪密切接触者,35144,解除医学观察,0,正在接受医学观察,32340,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,,,,,,,,,,
原始数据链接2,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"备注：
1. 把实际的数值填入到？的地方，没有相关的数据填0
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，加粗的内容不可删除
4. 把原文链接放到第15行起，有多个链接放多行
",,,,,,,,,,
