时间,2月3日,,,,,,,,,,,,,,,,,
省份,福建省,,,,,,,,,,,,,,,,,
累计确诊病例,194,重症,15,危重,7,死亡,0,出院,1,,,,,,,,,
确诊病例中,福州市,53,厦门市,20,漳州市,13,泉州市,35,三明市,11,莆田市,37,南平市,11,龙岩市,2,宁德市,12
重症病例中,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,-1,解除医学观察,557,正在接受医学观察,4235,疑似病例,87,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200204_5188911.htm,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,

